需求编号,需求描述,Unnamed: 2,Unnamed: 3,Unnamed: 4,对应功能项,Unnamed: 6,Unnamed: 7,Unnamed: 8,测试用例编号,测试用例名称,预置条件,操作步骤,预期输出,重要级别,测试类型,适用阶段,测试结果,最近执行人,备注
1            ,管理系统,系统租户管理,创建租户、注销租户,在系统中创建和注销企业/个人租户,系统管理,用户管理,用户录入,,TC_1_1_1,在用户录入界面，“用户账号”输入长度范围内的合法字符，其他参数填写正确，点击提交，录入用户成功,1.服务端可以正常登陆,"1.进入 系统管理-用户管理 页面
2.点击 用户录入
3.“用户账号”输入长度范围内的合法字符，其他参数填写正确，点击提交",3.录入用户成功,1.0,功能测试,系统测试阶段,通过,胡明明,
1            ,管理系统,系统租户管理,创建租户、注销租户,在系统中创建和注销企业/个人租户,系统管理,用户管理,用户录入,,TC_1_1_2,在用户录入界面，“用户名称”输入长度范围内的合法字符，其他参数填写正确，点击提交，录入用户成功,1.服务端可以正常登陆,"1.进入 系统管理-用户管理 页面
2.点击 用户录入
3.“用户名称”输入长度范围内的合法字符，其他参数填写正确，点击提交",3.录入用户成功,1.0,功能测试,系统测试阶段,通过,胡明明,
1            ,管理系统,系统租户管理,创建租户、注销租户,在系统中创建和注销企业/个人租户,系统管理,用户管理,用户录入,,TC_1_1_3,在用户录入界面，“密码”输入长度范围内的合法字符，其他参数填写正确，点击提交，录入用户成功,"1.服务端可以正常登陆
","1.进入 系统管理-用户管理 页面
2.点击 用户录入
3.“密码”输入长度范围内的合法字符，其他参数填写正确，点击提交",3.录入用户成功,1.0,功能测试,系统测试阶段,通过,胡明明,
1            ,管理系统,系统租户管理,创建租户、注销租户,在系统中创建和注销企业/个人租户,系统管理,用户管理,用户删除,,TC_1_2_1,在用户管理页面，选中未登录的用户C，点击删除，用户删除成功,"1.服务端可以正常登陆
2.辅助机上使用已存在的用户A登录
3.存在未登录的用户C","1.辅助机PC1进入 系统管理-用户管理 页面
2.选中用户C的记录，点击“删除”",2.用户删除成功,1.0,功能测试,系统测试阶段,通过,胡明明,
2            ,管理系统,系统租户管理,编辑租户配置信息，对系统中企业/个人租户的配置信息进行修改,租户设备授权激活配置,系统管理,授权管理,导入授权,,TC_2_1_1,进入系统管理-授权管理页面，在“授权码”框输入合法授权码（运维系统类型为单用户），点击 导入授权 成功,"1.服务端可以正常登陆
2.申请运维系统类型为单用户的授权码","1.进入系统管理-授权管理页面
2.在“授权码”框输入合法授权码（运维系统类型为单用户）
3.查看授权信息“运维系统类型”显示","2.点击 导入授权 成功
3.授权信息“运维系统类型”显示为单用户",2.0,功能测试,系统测试阶段,通过,胡明明,
2            ,管理系统,系统租户管理,编辑租户配置信息，对系统中企业/个人租户的配置信息进行修改,租户设备授权激活配置,系统管理,授权管理,导入授权,,TC_2_1_2,进入系统管理-授权管理页面，在“授权码”框输入合法授权码（运维系统类型为多用户），点击 导入授权 成功,"1.服务端可以正常登陆
2.申请运维系统类型为多用户的授权码","1.进入系统管理-授权管理页面
2.在“授权码”框输入合法授权码（运维系统类型为多用户）
3.查看授权信息“运维系统类型”显示","2.点击 导入授权 成功
3.授权信息“运维系统类型”显示为多用户",2.0,功能测试,系统测试阶段,通过,胡明明,
3,管理系统,系统租户管理,编辑租户配置信息，对系统中企业/个人租户的配置信息进行修改,租户登陆权限配置,系统管理,用户管理,用户录入,权限配置,TC_3_1_1,在用户录入界面，“权限配置”不选择任意权限，其他参数填写正确，点击提交，会有错误提示,"1.服务端可以正常登陆
2.适用xtadmin用户登录","1.进入 系统管理-用户管理 页面
2.点击 用户录入
3.“权限配置”不选择任何权限，其他参数填写正确，点击提交",3.会有错误提示“用户角色不能为空”,2.0,功能测试,系统测试阶段,通过,胡明明,
3,管理系统,系统租户管理,编辑租户配置信息，对系统中企业/个人租户的配置信息进行修改,租户登陆权限配置,系统管理,用户管理,用户录入,权限配置,TC_3_1_2,在用户录入界面，“权限配置”选择任意一个权限，其他参数填写正确，点击提交，可以提交成功,"1.服务端可以正常登陆
2.适用xtadmin用户登录","1.进入 系统管理-用户管理 页面
2.点击 用户录入
3.“权限配置”选择任意一个权限，其他参数填写正确，点击提交",3.可以提交成功,1.0,功能测试,系统测试阶段,通过,胡明明,
3,管理系统,系统租户管理,编辑租户配置信息，对系统中企业/个人租户的配置信息进行修改,租户登陆权限配置,系统管理,用户管理,用户录入,权限配置,TC_3_1_3,在用户录入界面，“权限配置”选择任意多个权限，其他参数填写正确，点击提交，可以提交成功,"1.服务端可以正常登陆
2.适用xtadmin用户登录","1.进入 系统管理-用户管理 页面
2.点击 用户录入
3.“权限配置”选择任意多个权限，其他参数填写正确，点击提交",3.可以提交成功,2.0,功能测试,系统测试阶段,通过,胡明明,
4,管理系统,系统租户管理,编辑租户配置信息，对系统中企业/个人租户的配置信息进行修改,OSAgent配置管理,Agent管理,Agent管理,客户端上架,,TC_4_1_1,服务器更新同版本agent成功，不更新,"1.客户端已安装agent
2.服务端与客户端网络通信正常","1.登录到服务端界面
2.点击系统管理-客户端管理
3.选择要更新的软件包，点击远程安装",3.提示与客户端版本一致,2.0,功能测试,系统测试阶段,失败,胡明明,客户端上传成功后，不显示对应软件。
